obj_id,name,year,iconic,type,S8,S6,iconic_bin,year_c,type_clean
371,A YELLOW TUFFETAGE MONOGRAM SPEEDY TRUNK WITH BLACK HARDWARE,2020,yes,bag,0.6875,0.9166666666666666,1,16.6,bag
372,A SET OF TWO REVERSE MONOGRAM TRUNK: A COFFRET TRESOR 24 JEWELRY BOX & A COFFRET 8 MONTRES WATCH BOX,2020,yes,trunk,0.71875,0.9583333333333334,1,16.6,trunk
373,A PAINTED NIGHT OF HONG KONG ECLIPSE MONOGRAM CANVAS ALZER 80 SUITCASE TRUNK WITH SLIVER HARDWARE,2022,yes,suitcase,0.75,0.9166666666666666,1,16.8,suitcase
374,Rolling Trunk,2020,yes,trunk,0.71875,0.9583333333333334,1,16.6,trunk
375,Malle Music Trunk,2024,yes,trunk,0.75,1.0,1,17.0,trunk
376,Dart Trunk LV Dart,2024,yes,trunk,0.6875,0.9166666666666666,1,17.0,trunk
377,Vintage Monogram Boite Flacons Train Case Travel Bag Brown Cloth,1970,yes,bag,0.71875,0.9583333333333334,1,11.6,bag
378,Monogram Canvas Trunk,1978,no,trunk,0.75,1.0,0,12.4,trunk
379,"Wig Trunk In Monogram Canvas, Made In France",1970,no,trunk,0.71875,0.9583333333333334,0,11.6,trunk
380,"Vintage Stratos Luggage Trunk Stack, Set of Three",1970,yes,trunk,0.625,0.8333333333333334,1,11.6,trunk
381,"A Louis Vuitton trunk in woven canvas, France",1990,no,trunk,0.75,1.0,0,13.6,trunk
382,"A Louis Vuitton courier trunk in natural cow hide, France",1930,no,trunk,0.96875,0.9583333333333334,0,7.6,trunk
383,"An extremely rare ""Assouline"" trunk by Goyard, made in France",2005,no,trunk,0.71875,0.9583333333333334,0,15.1,trunk
384,Vintage Louis Vuitton x French Luggage Co. Travel Bag/Diaper Bag Monogram Canvas,1980,yes,bag,0.59375,0.75,1,12.6,bag
385,Louis Vuitton Green Epi Leather Danube Cross-Body Bag,1990,yes,bag,0.8125,0.75,1,13.6,bag
386,Vintage Monogram Vernis Bedford Handbag Mint Green,1999,yes,bag,0.625,0.8333333333333334,1,14.5,bag
387,Louis Vuitton Retiro NM Monogram Coated Canvas 2 Way Shoulder Bag,2000,yes,bag,0.625,0.8333333333333334,1,14.6,bag
388,Louis Vuitton Brown Classic Monogram Canvas Alma PM,1990,yes,bag,0.625,0.8333333333333334,1,13.6,bag
389,LV Cup Red Calvi Messenger 91lz817s,1995,yes,bag,0.53125,0.6666666666666667,1,14.1,bag
390,Vintage Louis Vuitton Castillan Red Epi Leather Cluny Shoulder Bag,1995,yes,bag,0.71875,0.625,1,14.1,bag
391,LV Americas Cup Grey Polochon Travel Bag 39lk324s,2000,yes,bag,0.8125,0.75,1,14.6,bag
392,Louis Vuitton Tahitienne Cabas Bag Limited Edition,2000,yes,bag,0.5,0.6666666666666667,1,14.6,bag
393,Louis Vuitton Terre Damier Geant Messenger Bag,2000,yes,bag,0.78125,0.7083333333333333,1,14.6,bag
394,A RARE BEIGE & BLACK PRINTED LEATHER SOFT TRUCK BAG WITH SILVER HARDWARE BY PHARRELL WILLIAMS,2023,no,bag,0.5625,0.41666666666666663,0,16.9,bag
395,GREY MONOGRAM CLIMBING LEATHER HORIZON 55 TROLLEY SUITCASES,2022,yes,trunk,0.6875,0.875,1,16.8,trunk
396,"A RARE MONOGRAM CARDBOARD MALLE A BIJOUX INVITATION BOX JEWELRY SET, 300/850",1989,yes,trunk,0.65625,0.875,1,13.5,trunk
397,A LIMITED EDITION MONOGRAM CANVAS DUCK BAG WITH GOLD HARDWARE BY NIGO,2020,no,bag,0.34375,0.45833333333333337,0,16.6,bag
398,A SPRING/SUMMER RUNWAY BLACK RAINBOW MONOGRAM LP CASE WITH BLACK HARDWARE BY VIRGIL ABLOH,2019,yes,trunk,0.78125,0.9583333333333334,1,16.5,trunk
399,"A RARE, BLACK EPI LEATHER SAC PLAT FUSION BY FABRIZIO PLESSI",2008,yes,bag,0.84375,0.8333333333333334,1,15.4,bag
400,A METALLIC SILVER MONOGRAM KEEPALL BANDOULIÈRE 50 WITH SILVER HARDWARE,2017,yes,bag,0.625,0.8333333333333334,1,16.3,bag
